,A,B,C,D,E,F
23,66866.6306974521,55037.690000703835,55880.04536740752,67658.72673617676,44015.90688091627,50174.55363481377
24,49748.735229214355,37838.27202331014,43860.88685860849,72650.62386443862,60172.207199378085,66999.81932134922
25,57414.125753039654,59252.640900917344,46234.98459044424,85903.14298122977,48971.1586296695,62031.78153547888
26,65780.85620312704,29496.77983583069,30994.447205287328,30010.908300648694,39575.000733975976,45624.18703436485
27,58251.14087839034,50105.44023993331,44300.87483769347,31317.473896692136,58589.66965403198,62449.05649254592
28,50997.93921673011,58074.52184281603,46115.49185691731,67844.83510171786,43182.53785305725,61484.85395077462
29,60798.50502246064,46747.62643793615,46156.9916595887,50880.57892622932,46222.16839268918,57768.9493456457
30,30743.698270435045,53892.90843255546,46832.33756500521,51884.01597114356,49080.575832676965,49465.88337393654
31,69620.61306053994,44588.178647814646,52277.60015371062,58456.42903806934,55637.259829894574,60619.948392732505
32,79636.48271140073,59008.02595832192,58180.446995998864,53916.172049855755,40640.6426387581,46708.13033388582
33,53866.18436852898,51390.46285872874,35895.30994770019,50735.7616445264,44080.23562301076,54542.21145755333
34,64852.44432944568,71376.21344336862,67794.57871886627,43507.157381422796,51245.57946651907,52710.64480535113
35,46189.17626211995,46000.60949887453,35169.49008187617,54678.475957861876,47157.128880692915,70528.50609641298
36,51802.85877778774,57598.910445716785,54795.88236549291,44549.41558851467,49108.763394153204,63391.96197134117
37,39692.73035345416,40443.44276451473,45899.06220669125,49222.433443265545,31166.354751808216,63102.02469336449
38,45749.571166740025,44073.421236090806,47804.386203017035,47595.37676007808,29249.735326474143,59019.230050892984
39,45903.21901439769,46442.61504538173,38666.847177648175,58752.35972976092,60438.652802858895,63232.60820873013
40,47619.49258874812,48560.70333990802,67587.72594217374,45888.629825818374,47485.47256361472,57514.0977006925
41,42389.16110440926,38409.058011526504,68260.13208544024,53372.28490422255,45538.20650456763,53658.781187102
42,62104.529731719434,45805.153665412574,35030.13318573668,46728.187254761375,54263.96740436606,54857.95744283206
43,56040.843795315355,40642.19850176315,55217.42243803602,46382.46533831281,59489.888273795805,65576.395111495
44,52703.25861922888,57505.10399773825,59007.90188379884,59363.070405386534,46737.54470262191,50518.776898563105
45,42957.690128815644,63285.70123854175,48618.54314162362,58597.84701271873,39041.966319550425,49219.00040561898
46,53535.42855946564,54038.37475172789,22391.27020344998,40821.79274834003,56093.76168046873,60051.64966924592
47,48059.347113789314,55992.911643101,51032.2845883898,54006.64191432922,48275.2366145765,44705.30688529674
48,33001.521609968746,38400.95905730323,43407.35573500061,55189.808464731505,51231.93614018467,71812.44121657423
49,50956.11959609014,64049.367161202405,51994.85546148976,45425.59584634542,53814.08033500565,49233.76215883239
50,44711.856545705035,43960.998796761516,41058.67290744283,42860.16964666818,49977.76876839394,52055.48823612327
51,41475.033686836825,52924.29777060727,55025.66739172439,55358.36213749302,56585.33825072005,45297.04909232595
52,45003.24275766363,42971.4985696274,66481.71700265829,56055.92566584497,40424.2573320771,46735.72267290164
53,48194.05903318506,72931.83353266199,48659.93568950676,42480.3824947151,39746.9727644436,58061.41506492602
54,40689.15478946158,38416.63601422751,45085.48448218631,51999.116584882126,71054.04534269043,63344.57500343884
55,71115.82665026291,47228.18001822025,56328.26074221727,53253.831420649054,37113.873964508,50183.565609206096
56,64686.41493744234,60476.213067771925,28324.917371734704,51223.878260720776,60414.85050978041,53012.42039043772
57,46913.37666447695,39608.59999074538,52120.33626098882,54966.87738844365,47283.38662316816,51337.891230362424
58,53769.595056342776,62867.12802733154,38558.98362811545,43509.4839272729,48793.3643687539,40579.468474958936
59,59159.92950381741,29702.562073211877,64233.990964166675,42783.10523262952,33711.49155201713,51972.00903107513
60,61035.467288302505,46835.158471399875,40383.33880981951,53297.17417450867,66838.41848677016,69622.87220531091
61,51170.13206914348,34615.89089440054,72889.39465953554,41171.330094503006,52349.232554016555,62998.07275978849
62,37665.18826108889,60080.87637127637,36833.541541176004,54718.0319655858,59204.28295325414,33267.28605919509
63,45993.98266363595,46067.97760769333,48002.50133145208,46187.524843474246,41186.210791700585,60042.38441409069
64,55409.25527286758,47102.68258925481,43631.94457379967,45584.88877599363,52100.42280193645,63387.87292861888
65,50138.09956678365,50206.27659793756,60124.136024585365,59960.96326326599,50464.3724949622,53320.28106310245
66,61972.23354831988,52427.61237143149,57288.21762892821,47244.3441957902,55310.91490677655,53497.11238747866
67,63888.01209103704,49532.43728994298,49701.78391450282,57044.685850809765,50726.19853871604,30533.156562012544
68,53500.46224422227,47478.50551773782,42791.86242876,30882.87012592752,45473.013307200854,29794.270054003267
69,35809.344731732424,61624.53602327709,34813.100586819055,36107.59947166454,43630.309390254086,53869.469972509025
70,52115.65617725443,38789.093110469614,49977.018794926604,63172.61751199437,46723.99062980133,57675.48930503116
71,61505.256795036854,36161.359885002734,37205.470470330576,60205.85414260814,36614.86827473849,45181.425828623
72,49927.42240587366,46512.49728368352,37516.50904371627,36660.08581604989,36944.704088473576,58432.47289703334
73,42649.0617900627,56721.85004203368,60055.95588121339,55093.17534420097,47672.81308571802,60021.33533595592
74,35016.630636273425,43230.11274686387,42243.19338509695,61872.45050493426,46342.000615320496,57264.618640211775
75,53220.16413600635,50723.34340890801,68801.21009405519,33999.963902685144,41556.63766852946,48819.71056361045
76,45796.187918754644,44046.134037312746,42866.63992233074,53442.3454415382,53422.496045846114,52398.15828455737
77,58034.10620302125,51237.481834756574,43302.1763600135,49849.9502204705,57622.267432837136,55850.18823590332
78,48952.836645812386,45969.377506886194,46848.01323144866,34191.647135052044,45736.34072269338,43799.17408246917
79,46459.98158564474,58367.84260025676,40746.91698150686,56034.753428017764,50779.03013727385,52471.854576572594
80,64591.34296843966,68063.67524699242,50706.421196060255,59862.55887946876,43795.20326903218,55373.29582409408
81,65956.93653644834,42814.53653274693,61195.066792400736,50773.004461301774,46310.830461858575,41643.65183526273
82,52477.18052140474,69055.56773280296,41924.59808025252,59108.11769255059,40236.26209807577,66060.51384531645
83,41889.743010683684,56507.13335321119,30536.365703581272,66982.37007158334,56366.55582703307,59258.34674796106
84,45296.19817373847,57567.41726489629,46411.40388254718,39004.25767521453,48454.39557531869,42450.83930463922
85,77026.01686015408,50517.69176089332,60242.19568016616,43365.90141891435,55050.793804689245,70857.50943221629
86,41150.98245425508,53079.5399612359,48429.79369999714,36056.35875512113,58210.62216256578,63380.729342568455
87,41569.443661818696,39114.48598161085,48115.37275269771,51893.32702814267,46087.007822578744,51326.14249826647
88,59498.544685919755,52503.691253758734,46973.45721846982,49200.73698272533,49363.44054756934,63001.04939044532
89,64872.15585314834,37552.68412632951,54394.0488080352,53741.38170995214,51765.50982778055,62158.652585059055
90,38558.4051164294,61102.89335307035,57726.86953044099,53024.598062524354,55080.71740272163,50013.89894753082
91,47260.51156069342,36982.058501664396,38848.935017490185,56056.62170668187,51897.8596977743,59013.89386553457
92,45671.07906861962,37439.783683903894,37081.086642454546,45770.88832303165,46565.387063891634,53862.11707839709
93,68057.71798019802,73352.05591058498,25120.2739087455,49641.203177352974,54886.91239700913,57494.32460714811
94,50386.109027475824,41688.65675147212,41167.05112093578,39025.315526951454,52243.48474982864,47962.86397191145
95,42659.082847923164,35390.59731886494,40144.23067176284,44231.00842683506,61205.671068137,54999.455293281484
96,67392.47829952746,45418.94469256426,46166.79476219207,58809.57516464529,61656.862191950015,55578.940021416885
97,54455.277387147195,52551.64008385431,53685.44256096524,50064.0116796521,45974.866032539314,32890.765938220975
98,52274.67575903229,64821.24266085779,51462.865364004356,52524.241292351864,57779.83885394476,48302.97995489321
99,38879.60779969427,59254.45310916617,46691.35299030262,47021.17761401658,49051.708466364005,59911.46448335012
100,41010.1791746827,59958.445350459704,55634.601590913946,36370.801425660844,51641.940707071415,48200.85210187098
101,50909.57197619503,50529.28868218641,27979.590073216077,64664.96910879527,45349.52964815091,74638.69195754634
102,62564.908045712684,50170.80594749415,49387.39896690011,49038.99393584687,70025.0212177241,44213.29126037337
103,59697.49254013064,52862.11187455605,39849.22234861198,62241.19091438706,52415.27501708336,52549.29120851371
104,42321.54306949084,41018.49402593284,40244.49548968696,50153.625731960194,40100.04333487111,61489.502755058886
105,48206.03623205287,50442.62207568188,37164.51834838473,74903.58655274409,57399.43967948473,51748.00305225982
106,40059.302301177304,51936.940883519404,40614.299240569366,50618.54120369983,39226.70894184543,57189.56460038503
107,65160.2253487234,46254.043443422204,58100.15541132877,44735.610201920645,63719.101670414246,43813.51769025684
108,41094.66842467223,70691.0801708801,58752.49117736488,40094.07661985015,49737.95390445947,55071.034091561094
109,48637.126333033375,53992.033933046005,28771.60408613204,59201.86557836851,51821.9014081839,55883.23427399573
110,52985.520750372634,45324.089714332426,40516.95208621958,62296.691961748234,58711.055025088244,55306.49802703887
111,28479.667988964844,55860.56931046086,54158.26696139676,63613.75618100287,68715.00732916548,45479.0382804427
112,34888.75541228256,35433.5350076039,52494.05160924924,42429.803520008296,66253.98280024025,54180.35857022892
113,34525.98547517184,54861.123456075795,57885.546222294724,46330.21556999089,53221.13301991831,62843.2001024584
114,63296.821158236766,41620.99373647393,34160.7707538865,52353.394813230356,41425.944055742446,46548.15821597542
115,45705.45760816807,57938.69160831533,57400.38539112455,62936.09556416645,48445.224390117,69207.90699658793
116,50251.349597961635,50509.13137773901,60143.736005771476,59720.34519601341,42868.81819856141,54265.88987637401
117,44774.46583184837,53351.4129703874,44460.44844724041,63421.268030224775,37872.7628837402,62384.87756260604
118,25228.730918814123,49960.09594511657,33863.02430093932,49480.68991603652,31593.84026159581,62324.5089375073
119,46758.36581767953,52046.307838286986,65395.79460599442,62200.71619058015,35069.75769429635,68768.1407860719
120,51269.30501377183,46124.72294811643,40141.10955279497,33692.04733578426,48825.99348807418,60969.45255477017
121,48405.17941244201,65665.88118478589,34501.672073125155,43219.600530481956,47651.25711717968,64115.02170248241
122,49933.54323999193,55425.421306265525,52676.966621315565,44400.63234260221,53708.71713850486,67539.59202437212
123,40539.542830461396,70078.41004963385,35061.35878949287,45954.03222142338,40898.09928224067,47600.94578396656
124,54783.940128798735,58737.91363445034,42623.28973649705,56579.4753235698,46419.194205619926,66363.90689485235
125,60489.807930047464,48544.311861010545,45107.194599205555,60266.885895688734,37565.056613807574,64458.57894134958
126,55449.1744220674,52487.518217904784,50097.41952078601,48954.78308976809,45996.66727360207,45176.93105034332
127,41000.572668385335,43426.916054399655,66656.93235871266,72672.36747857885,65793.19086528347,68366.92420591005
128,57350.33602114311,57741.50497753024,33022.44518230476,52573.218579399865,53168.822373934374,45363.67914770085
129,62833.927775630895,42801.89083878995,40070.16383974842,51623.298449699076,55880.104889018556,69255.61888608582
130,38432.944975650695,52873.675204443,59563.80487668645,40345.958672392866,49230.35251908812,33191.57580706717
131,45091.87826834577,59986.741252607564,35344.78286450845,61608.647069920466,63346.98066931799,47710.668184730086
132,52448.391757174126,44769.947540976515,46705.56588557581,53049.44102791068,44937.02630411619,52881.63482972701
133,44755.56821007307,59304.54117256078,38527.924053193005,49581.039406550335,66317.49344250245,73282.1257182151
134,51247.48311448938,43454.38248055597,59353.631421008206,45789.445561693465,48770.362617827224,59124.82370751785
135,51582.24372953587,60496.30788647131,49856.77750292319,53619.65975406401,57458.534315862016,62385.62936030107
136,48731.2326867735,63095.70548053889,50097.06808376736,58264.508066139635,32824.429805070235,57221.88764987817
137,35295.70770917787,43050.689364713064,31143.102866549376,40732.70514745798,34509.60364900614,65066.700702671726
138,59011.461677034764,50035.42838475508,50867.82142070751,32538.10733931933,39697.124712298195,64937.09891658232
139,43255.91328612582,47721.579322409496,69000.59584145706,46310.747368133685,41398.0741193499,50667.90688629134
140,38530.81656866808,54042.85885208933,17591.68215746818,43055.44671847211,35640.57546592555,51875.22002330854
141,41047.57207540156,53580.08834639503,52570.77342589652,41068.28705604062,48291.65202592847,39652.57828928087
142,40479.082704202134,71714.68684099815,35285.78854120668,47866.83779469326,29834.822606660022,73312.68115244622
143,55979.45137106445,58298.13639623753,52465.377112295406,43670.13524984826,48053.93464859322,70194.79762126681
144,41061.805629510505,52909.44177711846,48592.76592426299,48687.24150120953,41193.79423433894,57085.943979375945
145,37458.66666431737,55900.614803448196,61826.17187129824,54731.2631720771,49639.23768393161,62736.240788764466
146,69539.5104593549,54755.76680490495,46139.5186123531,46182.92921216707,49999.2354724466,67071.08635767162
147,44430.59797401633,43891.996051497554,54736.93512412505,40885.277855502674,50385.98539096107,59793.35958394228
148,65046.143069040634,43487.44760641724,48908.868636445775,43035.81641543531,61340.21430690807,69423.99215579948
149,60518.26638833959,69932.00790050504,42973.55802985012,36559.521444062215,46232.974339682856,54215.4183761886
150,33440.8600186775,46789.27451824449,29550.723059497635,46868.191856350706,52596.99396097209,71460.19065432303
151,50825.39424424308,56697.21417752195,68295.9159452796,33993.71427921108,43688.19291713612,54710.92414364403
152,66071.20036182924,48450.45132220282,67812.74935587705,49799.65210033357,54604.599740471174,77124.13594516928
153,37969.852748297104,25735.84500979845,58511.64080076256,57096.608588210045,64712.2912368456,69206.4998866639
154,47103.57237561739,49690.10679901891,55881.563069159696,41140.87946301549,31884.13706195698,40711.42809991861
155,47049.31408478525,42619.173015064225,57259.090097399,58872.732111341145,72042.66735981786,47675.184716103926
156,49405.9712966891,40982.58735594257,57994.663245788615,66886.92774731724,50227.87558835446,52897.04204731974
157,50853.42943387541,40499.730006790574,71169.08335747315,66000.33281804071,51606.54478253238,67971.33844000944
158,48986.2157944833,58563.7949106437,33954.15622920325,44289.39375139036,65403.33578073253,70951.5901446645
159,77978.58089088064,37017.56342380266,49652.80205616564,54801.11745304422,50479.68029518972,51112.34129426549
160,43391.63651762721,46326.63958992989,57077.15886614521,56300.03742430496,39021.04065507081,50566.31390952921
161,42627.47173101224,50496.727326066546,37146.77274024655,51404.68953126147,59128.53600129444,52601.13930125923
162,43589.735777750735,53993.27527708693,38160.297547968556,43478.9874129401,58292.54825108906,56410.43650708594
163,46821.850672851004,43408.5353033946,44568.98990948986,39725.262677923914,46067.97554063242,59588.51851502969
164,30622.93484248388,46826.85783099051,26314.67848462381,35306.49687341607,51516.43451134377,43137.97244368207
165,32385.52454257503,37162.8526998996,36328.72872367331,26276.03292923615,44103.691423546086,55403.54409496769
166,52334.00660833019,50163.642671888956,48959.48925960036,59642.43513264883,37571.0140520557,64778.59756059622
167,61123.93878325762,42027.65755130359,41633.401213735895,45974.30868685918,55753.087481889896,56896.33981728857
168,56206.626810565984,69769.9327214761,32580.579958952323,58146.671027288365,57669.4935636325,66181.24854329477
169,33031.0029039955,55895.395027185514,61347.74465453246,52013.11590356081,59069.46384471045,38782.38394835558
170,47868.67029672041,59573.66831233376,43920.77652112719,69638.35589441478,35618.537344740515,68393.83073378498
171,60822.55852544995,57679.52915011803,53169.561191355766,47521.31557168586,42385.48786264136,44624.19016349323
172,43704.65530347026,53252.31947057846,42899.11199353667,69334.57375826144,50411.0267020665,44492.31105906845
173,35316.602120239906,43821.35187195859,51140.43050119659,48305.383840795264,44077.92284060774,44816.49539393255
174,49867.2922988754,37632.99050008734,59024.005333618225,42513.48872788716,52535.38887089772,61784.40298620228
175,37977.527013813065,50731.30735306604,34545.50905388265,58721.204084139645,52784.52125174541,59682.359058391026
176,35495.08360630792,41664.25655648093,34650.566396236885,42004.6678604543,48660.14936677259,58122.30418088537
177,48776.30267964931,50211.95659123434,39982.0519687469,56568.42358338473,32352.784670148067,49398.367362175864
178,48025.491391176285,61304.97605053565,65504.72668114681,47073.75263575383,70519.82496339176,63096.95284403724
179,62182.63636855255,51267.890556276834,31001.59277092901,52706.776660853764,56591.523093050084,57698.197529772166
180,49186.44085903606,59362.958425800214,47000.28586650091,42692.870858775714,62450.67325470473,25981.18277767336
181,55104.6514439456,54937.88369498343,52682.20318437586,46341.5526323473,50235.73900625082,45405.72895285461
182,57266.70851731778,51456.40425532923,38493.3351962175,55581.605658472,38972.57013222507,52373.945642508595
183,41320.427473424126,39429.793619184784,56095.245081525565,50158.29383102146,55974.41950751517,50709.612459008924
184,58493.69029367301,67590.20796947725,59564.943774967,55045.62034740027,35063.48038994018,67612.66464791208
185,58172.484379285524,33971.18541120553,44845.203135226475,48296.37968808419,31153.30665196888,43263.0226930806
186,61501.545775412975,52222.936097340105,64521.552016786445,54476.244246032955,51914.33334367582,48329.38095757445
187,61253.03551020672,52469.49983354953,63406.24386539658,27452.392126204544,50875.05902484836,39988.32383460649
188,39792.34433467972,56844.28950824037,54075.41307495539,25367.256524873137,60408.68336081415,67984.08082908177
189,62875.872032058,49747.44688418663,44939.06743546542,65268.01415715397,56933.60141495926,52557.40844131042
190,58062.12331924223,34113.45930200687,39273.62176843259,51110.147790180745,50110.990731835176,44849.93548443093
191,42773.34094911103,56384.129820864975,51084.40588296233,53516.31570084216,36749.902290634534,52042.62083534847
192,29258.389243995487,59768.60167459547,41573.97482081669,63740.93841141311,49337.973898184006,51595.65707325642
193,39261.64510790724,45146.48064249378,25442.66366414337,37874.45714709845,44437.68865617761,63986.27777900217
194,57437.58519588064,56077.01598504323,43689.22602397383,44028.82133327661,44432.56396740701,63073.0372919994
195,38988.257346059574,52674.63752422733,48348.12970728129,38088.00084075536,31915.78603643756,46785.24601573338
196,63583.91926723201,51773.29023288413,50060.2537723944,44658.0949184003,48651.37718554816,36404.211321519215
197,53225.5400817269,69611.44277473039,38062.51943634964,47621.8511032288,45033.381831421924,45424.411237259796
198,62350.33187517272,61016.602688323335,49789.58176660238,50977.76762467683,66276.54914702044,37670.79182521235
199,63741.378689285564,59107.85792956138,49262.644371659044,40614.54840862976,51445.11519645547,66742.22645428148
200,41308.53530261368,51888.71095849481,55886.68825113543,58350.94765565044,55052.49602849104,56437.68315491857
201,53592.33856670495,46076.731983982456,37758.67498975171,42113.5419513347,61253.26480056393,66028.30754169995
202,49581.02120571383,38178.85822650574,49266.23278303698,49840.66446318561,60367.96795581939,68967.2618838991
203,38838.92363398911,23311.910438002924,53834.611274920266,35614.60874043546,54003.936697471,48402.846785513146
204,53948.2119973238,57207.17101135704,39384.44626647618,46616.837892743526,46147.87035844592,46992.3804575015
205,57622.34295432037,64192.7606262595,42551.26278122552,46844.35137331879,60410.842461181615,53342.853869226834
206,52228.07240494789,43884.70614664336,27662.872824081413,30512.334353286886,47851.89219483434,48742.622967048024
207,55279.49745945304,48221.16227795303,44008.16139854966,54047.16194705483,38223.91769250835,57687.60999013343
208,37802.85969883631,44781.24968539518,45229.31281983535,40997.33374423595,54321.34651606767,69456.05095437623
209,50418.20748324513,57416.81922159984,57170.461373297425,55254.630315946306,52796.2048620881,35362.00649842304
210,65583.91885362363,43556.687492118515,47329.137397622115,40179.96083705283,39591.7458160877,72680.92170973442
211,45110.83740613562,59390.66286021151,57170.91447184628,60066.37192990686,51739.81629062783,63170.990095725625
212,25199.280140494,46928.025749529406,36399.59204122974,62410.61336993384,60511.11365879414,65842.32074227685
213,33829.258848225625,48847.36245159395,52498.94479937829,62690.13492315363,44246.894656852055,62056.63704232318
214,47264.09509378129,49669.424847300405,31543.13651983549,33288.47159181226,38178.97018462654,57944.95362146553
215,38696.055180131036,48725.97343832902,47804.175077483196,46746.6683809281,36868.517982635225,58008.21763216767
216,50876.21872917976,62021.376917726644,45143.48449776245,51510.80648838506,57867.594683988886,40270.2854134622
217,44824.35508338559,44867.57052275892,46463.186175269606,56508.12864772682,51302.42844191,57175.50511524538
218,41294.51048308032,51905.364698457946,39010.768297230235,37095.3228121452,50584.806814945296,64123.90653942484
219,47814.81674004223,54661.76798743068,70215.84821498735,51418.10757964644,47614.725485338466,69317.14410050842
220,49788.51112498277,63358.89985625954,46773.708870087255,62466.7091340043,59430.9544379362,55995.83556947276
221,52996.94008353351,48893.0201938224,51239.83883434029,44453.34268972235,64338.61117040575,64551.38308269499
222,41808.77754671456,47532.63867889676,28908.253489165094,47829.44895534129,29578.362786100646,47519.303691497174
223,49144.438848417485,67833.49281002887,53708.28066466589,46420.50054176415,66918.63288335157,57587.51009129423
224,33029.358547170035,55155.897533517884,47834.877551888116,56470.140099737575,44226.400816982896,58500.694130569645
225,61027.299288926624,42603.38084850824,54904.00966950503,61493.088842640354,58329.34942747521,34882.96826780985
226,48689.01995811122,45583.363418109395,48494.96723481728,42497.41892902545,49054.70007104062,41472.223323257494
227,41557.64444027195,39980.15157027381,55639.71326351006,42530.167170824425,47781.19274944886,67827.58147935178
228,49833.63892857811,43981.82368839157,61106.00798246747,44084.248193238745,41462.23689308382,40938.58747727531
229,47719.44534704867,45116.796555464956,44233.113269800895,37073.12198170842,55668.74136315946,71104.76365619215
230,50933.369009279726,46359.64362161621,58471.9978609662,50379.034996936156,47067.91075898953,49474.86460551084
231,61783.51185966713,44137.22830188916,38911.637411016665,57440.11581095683,53444.35279340291,57702.45177719495
232,51884.14274781834,41555.42623729778,33079.319139055384,36158.28847105037,56954.235595468315,40013.31176598783
233,51382.03118146856,45514.28478687709,67280.02071414418,49088.70187437752,55313.97759552422,39650.39754931064
234,44341.90411601429,45386.89613571896,52266.43147064389,74685.61342985419,59995.21331067781,38299.56461775229
235,56573.73558696265,39021.14556478712,49278.78578502487,57592.55571152689,50015.90243516564,37085.946998061234
236,62856.20287194639,56794.745628694196,44791.79619261505,41905.554903362216,57595.835152571606,77031.7090068088
237,40418.48860341013,56347.29395895166,45651.72452875426,54725.51821894996,48236.15153065959,52843.45945875344
238,62732.20413246949,63062.88721813581,48148.907507913354,44241.694126902104,52843.184286423544,64853.5558303489
239,59567.386974191424,57014.10972945455,31163.613301800797,74587.41135689933,30228.161980537057,60451.75756543304
240,57075.64853604859,50528.99669598678,78269.612852786,63960.74991428032,49587.017386819185,46025.60309420941
241,69010.5386967995,45919.48284157914,33879.04056890942,59097.23286027704,62285.0131134882,53277.66306345747
242,43854.133347259536,60540.57764165117,47700.30069907239,50983.78500680486,52602.525669903596,64369.19715375261
243,39139.38555215034,68102.78621975456,31438.140258278523,58201.461868980536,53136.88357631321,52676.720154490715
244,34706.43851569906,54897.3574667555,52658.5703180412,48281.303738147406,39552.6681514489,63731.63368949697
245,39835.9614708439,64011.9586483,24515.270863756818,49906.370848412385,47896.05330958434,70014.13498559756
246,43824.51641767998,70391.85468893085,39852.671541174524,50159.801787878285,43717.65814331111,58529.13433695788
247,48728.68412103026,55049.51407594197,25456.69229152943,53611.57572266085,63800.39404638807,72074.08808967684
248,59609.35405897626,50034.14179082288,46430.576000009285,57314.003597297116,26837.522279458397,51333.076529014645
249,50037.473259339175,52499.255218560036,62718.20933846863,44591.11334427524,59732.56876494018,53170.987519457405
250,60052.90134295702,42816.08134889314,34732.65601357724,45664.06857899992,44845.825011551475,44835.86526277476
251,46369.52412348363,39145.91376790436,23493.378125283045,50174.988014796574,55020.644737851006,45034.804256324875
252,56426.51975570285,50779.334282669464,51977.198023097335,52356.137284696415,48690.7268676877,50372.30762410999
253,48489.437727172575,56308.94548748949,27303.342170605254,47196.8508867404,46827.132816792975,66902.50982487915
254,41771.647765912,59696.498340238744,56353.185416400054,55371.492326334446,46434.15339466417,44673.6081023052
255,33417.06742965955,50310.53531829899,50063.29757467345,51893.34900228458,47702.547943463185,90340.35928964044
256,40183.97713908562,58090.01708451126,55807.51813848278,41206.32290694535,43969.40593870198,44344.238965961464
257,39128.830188341126,49845.90089684731,54537.4684486819,44178.23565132028,42310.21343240959,47891.67648600915
258,54774.45916722834,47729.760173530485,34807.920448423465,54385.51597824586,61089.66473363779,36525.029831601
259,54825.024087891405,59628.486084041724,41345.46501170734,63521.628007259074,49099.03516677645,53891.21204787021
260,51824.61581338629,50861.575585609295,59254.290015611776,47714.17422624038,53752.25300710354,45683.182326758615
261,53805.16064734136,70213.23506447859,41998.33275288686,57933.241253830056,43057.507719025714,60516.075032378416
262,39508.22041030301,59937.98301935476,59978.600515449194,45958.640354100884,30642.254525226082,55006.92376132191
263,76623.94261111591,51170.017434769194,30938.10981793187,63561.31484059798,39028.629754227106,55436.97412372223
264,62691.91819976701,56162.37736059849,35127.240320997145,62091.21782470336,43929.51518221102,61694.26008537605
265,56013.017231919686,41711.329853537616,38878.45509771936,45431.08675879369,48044.41417834317,53627.53990732251
266,51087.24306362781,22393.39655848871,68782.66121096915,49106.462756785615,59231.944981125394,65088.64400137789
267,56422.73619650081,46011.25107588526,52418.239041086796,61184.38796351801,41271.345166095016,52346.36503496951
268,45519.73110128041,33653.93286728668,48796.71528261399,60726.638013310076,70277.52193516857,60874.29914935553
269,77102.21448271026,46705.452078226095,66447.70206349547,35664.27315959131,28042.8412432602,58127.19297851872
270,27922.156930844318,45740.25389734289,41884.47498936562,57954.357901869625,47432.75172641135,77405.2514235522
271,42848.1791061649,50213.48712066216,46239.43984226499,57934.55441299263,37683.382767989395,82094.57271278683
272,39977.40889417398,62134.22536921895,51578.8880570237,45091.97636904537,54260.81791872796,65880.97340562244
273,23164.67126356071,43155.38728254824,57162.67428240746,49577.98006922779,41369.043731751924,58061.68164543448
274,13454.556617132024,63311.15745990922,52448.925923331095,53997.45732749155,48865.7128989369,71267.9056386657
275,50628.36502392075,57611.63746074708,29779.834018111636,46175.03301568859,39972.51501062373,77815.57836082467
276,56867.489844741205,51638.56646129576,42960.91459379491,55845.329108581696,57082.58565980655,56112.36333410551
277,48989.8251269928,51116.69307965551,31334.781326354907,40736.203155850795,44261.627595012025,53237.28079245939
278,69182.28905003819,45187.132962497264,37379.21887430927,48730.98749667041,53209.833837992825,51436.218025964394
